Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match_Url
80,180,143,9,2,55.94,2,bowled,1,v West Indies,Port of Spain,20 Jul 2023,https://stats.espncricinfo.com/ci/engine/match/1381213.html
57,59,44,5,3,129.54,2,caught,3,v West Indies,Port of Spain,20 Jul 2023,https://stats.espncricinfo.com/ci/engine/match/1381213.html
5,20,14,1,0,35.71,2,caught,1,v South Africa,Centurion,26 Dec 2023,https://stats.espncricinfo.com/ci/engine/match/1387603.html
0,10,8,0,0,0.00,2,bowled,3,v South Africa,Centurion,26 Dec 2023,https://stats.espncricinfo.com/ci/engine/match/1387603.html
39,68,50,7,0,78.00,2,caught,2,v South Africa,Cape Town,3 Jan 2024,https://stats.espncricinfo.com/ci/engine/match/1387604.html
16*,57,22,2,0,72.72,2,not out,4,v South Africa,Cape Town,3 Jan 2024,https://stats.espncricinfo.com/ci/engine/match/1387604.html
24,53,27,3,0,88.88,2,caught,2,v England,Hyderabad,25 Jan 2024,https://stats.espncricinfo.com/ci/engine/match/1389399.html
39,76,58,7,0,67.24,1,lbw,4,v England,Hyderabad,25 Jan 2024,https://stats.espncricinfo.com/ci/engine/match/1389399.html
14,68,41,0,0,34.14,2,caught,1,v England,Visakhapatnam,2 Feb 2024,https://stats.espncricinfo.com/ci/engine/match/1389400.html
13,28,21,3,0,61.90,2,bowled,3,v England,Visakhapatnam,2 Feb 2024,https://stats.espncricinfo.com/ci/engine/match/1389400.html
131,292,196,14,3,66.83,2,caught,1,v England,Rajkot,15 Feb 2024,https://stats.espncricinfo.com/ci/engine/match/1389401.html
19,48,28,3,0,67.85,2,lbw,3,v England,Rajkot,15 Feb 2024,https://stats.espncricinfo.com/ci/engine/match/1389401.html
2,11,9,0,0,22.22,2,caught,2,v England,Ranchi,23 Feb 2024,https://stats.espncricinfo.com/ci/engine/match/1389402.html
55,99,81,5,1,67.90,1,caught,4,v England,Ranchi,23 Feb 2024,https://stats.espncricinfo.com/ci/engine/match/1389402.html
103,250,162,13,3,63.58,2,bowled,2,v England,Dharamsala,7 Mar 2024,https://stats.espncricinfo.com/ci/engine/match/1389403.html
6,26,19,1,0,31.57,2,caught,1,v Bangladesh,Chennai,19 Sep 2024,https://stats.espncricinfo.com/ci/engine/match/1439891.html
5,12,7,1,0,71.42,2,caught,3,v Bangladesh,Chennai,19 Sep 2024,https://stats.espncricinfo.com/ci/engine/match/1439891.html
23,23,11,1,3,209.09,2,bowled,2,v Bangladesh,Kanpur,27 Sep 2024,https://stats.espncricinfo.com/ci/engine/match/1439892.html
8,8,7,1,0,114.28,1,caught,4,v Bangladesh,Kanpur,27 Sep 2024,https://stats.espncricinfo.com/ci/engine/match/1439892.html
2,30,16,0,0,12.50,2,bowled,1,v New Zealand,Bengaluru,16 Oct 2024,https://stats.espncricinfo.com/ci/engine/match/1439896.html
52,89,63,8,1,82.53,2,bowled,3,v New Zealand,Bengaluru,16 Oct 2024,https://stats.espncricinfo.com/ci/engine/match/1439896.html
0,12,9,0,0,0.00,2,bowled,2,v New Zealand,Pune,24 Oct 2024,https://stats.espncricinfo.com/ci/engine/match/1439897.html
8,28,16,1,0,50.00,2,caught,4,v New Zealand,Pune,24 Oct 2024,https://stats.espncricinfo.com/ci/engine/match/1439897.html
18,31,18,3,0,100.00,2,caught,2,v New Zealand,Wankhede,1 Nov 2024,https://stats.espncricinfo.com/ci/engine/match/1439898.html
11,13,11,2,0,100.00,2,caught,4,v New Zealand,Wankhede,1 Nov 2024,https://stats.espncricinfo.com/ci/engine/match/1439898.html
3,21,23,0,0,13.04,6,lbw,1,v Australia,Adelaide,6 Dec 2024,https://stats.espncricinfo.com/ci/engine/match/1426556.html
6,20,15,1,0,40.00,6,bowled,3,v Australia,Adelaide,6 Dec 2024,https://stats.espncricinfo.com/ci/engine/match/1426556.html
10,44,27,2,0,37.03,6,caught,2,v Australia,Brisbane,14 Dec 2024,https://stats.espncricinfo.com/ci/engine/match/1426557.html
DNB,-,-,-,-,-,-,-,4,v Australia,Brisbane,14 Dec 2024,https://stats.espncricinfo.com/ci/engine/match/1426557.html
