result,date,match_id
won,5 Oct 2021,1254093
won,8 Oct 2021,1254088
lost,24 Oct 2021,1273727
lost,31 Oct 2021,1273739
won,3 Nov 2021,1273744
won,5 Nov 2021,1273748
won,8 Nov 2021,1273753
won,17 Nov 2021,1278671
won,19 Nov 2021,1278672
won,21 Nov 2021,1278673
won,16 Feb 2022,1278679
won,18 Feb 2022,1278680
won,20 Feb 2022,1278681
won,24 Feb 2022,1278684
won,26 Feb 2022,1278685
won,27 Feb 2022,1278686
lost,27 Mar 2022,1304048
lost,2 Apr 2022,1304055
lost,6 Apr 2022,1304060
lost,9 Apr 2022,1304064
lost,13 Apr 2022,1304069
lost,16 Apr 2022,1304072
lost,21 Apr 2022,1304079
lost,24 Apr 2022,1304083
won,30 Apr 2022,1304090
won,6 May 2022,1304097
lost,9 May 2022,1304102
won,12 May 2022,1304105
lost,17 May 2022,1304111
won,21 May 2022,1304115
won,7 Jul 2022,1276904
won,9 Jul 2022,1276905
lost,10 Jul 2022,1276906
won,29 Jul 2022,1317903
lost,1 Aug 2022,1317904
won,2 Aug 2022,1317905
won,6 Aug 2022,1317906
won,28 Aug 2022,1327270
won,31 Aug 2022,1327272
lost,4 Sep 2022,1327276
lost,6 Sep 2022,1327277
lost,20 Sep 2022,1327503
won,23 Sep 2022,1327504
won,25 Sep 2022,1327505
won,28 Sep 2022,1327506
won,2 Oct 2022,1327507
lost,4 Oct 2022,1327508
won,23 Oct 2022,1298150
won,27 Oct 2022,1298157
lost,30 Oct 2022,1298164
won,2 Nov 2022,1298169
won,6 Nov 2022,1298176
lost,10 Nov 2022,1298178
lost,2 Apr 2023,1359479
lost,8 Apr 2023,1359486
won,11 Apr 2023,1359490
won,16 Apr 2023,1359496
won,18 Apr 2023,1359499
lost,22 Apr 2023,1359505
lost,25 Apr 2023,1359509
won,30 Apr 2023,1359516
won,3 May 2023,1359520
lost,6 May 2023,1359523
won,9 May 2023,1359528
won,12 May 2023,1359531
lost,16 May 2023,1359537
won,21 May 2023,1359543
won,24 May 2023,1370351
lost,26 May 2023,1370352
won,11 Jan 2024,1389396
won,14 Jan 2024,1389397
tied,17 Jan 2024,1389398
lost,24 Mar 2024,1422123
lost,27 Mar 2024,1422126
lost,1 Apr 2024,1422132
won,7 Apr 2024,1422138
won,11 Apr 2024,1426263
lost,14 Apr 2024,1426267
won,18 Apr 2024,1426271
lost,22 Apr 2024,1426276
lost,27 Apr 2024,1426281
lost,30 Apr 2024,1426286
lost,3 May 2024,1426289
won,6 May 2024,1426293
lost,11 May 2024,1426298
lost,17 May 2024,1426305
won,5 Jun 2024,1415708
won,9 Jun 2024,1415719
won,12 Jun 2024,1415725
won,20 Jun 2024,1415743
won,22 Jun 2024,1415747
won,24 Jun 2024,1415751
won,27 Jun 2024,1415754
won,29 Jun 2024,1415755
lost,23 Mar 2025,1473440
lost,29 Mar 2025,1473446
won,31 Mar 2025,1473449
lost,7 Apr 2025,1473458
won,13 Apr 2025,1473466
